epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,135.529,2.11452,0.88938,0.98882,0.31152,0.00333256,0.00333256,0.00333256
2,266.978,0.60527,0.91323,0.99205,0.22923,0.00633594,0.00633594,0.00633594
3,380.023,0.62824,0.93088,0.99609,0.19912,0.00900931,0.00900931,0.00900931
4,486.933,0.60409,0.95325,0.99731,0.13007,0.008515,0.008515,0.008515
5,607.894,0.48326,0.96389,0.99825,0.10414,0.00802,0.00802,0.00802
6,721.083,0.39253,0.96968,0.99879,0.08444,0.007525,0.007525,0.007525
7,828.705,0.33723,0.97265,0.99906,0.06873,0.00703,0.00703,0.00703
8,937.812,0.29215,0.97871,0.99946,0.05734,0.006535,0.006535,0.006535
9,1050.3,0.26273,0.98289,0.99919,0.04942,0.00604,0.00604,0.00604
10,1163.65,0.24586,0.98275,0.99973,0.04397,0.005545,0.005545,0.005545
11,1320.64,0.22085,0.98275,0.99987,0.04291,0.00505,0.00505,0.00505
12,1426.08,0.20565,0.9841,0.99987,0.04,0.004555,0.004555,0.004555
13,1535.32,0.18794,0.98464,0.99973,0.03779,0.00406,0.00406,0.00406
14,1653.48,0.17214,0.98491,0.9996,0.03638,0.003565,0.003565,0.003565
15,1765.53,0.15755,0.98531,0.99987,0.03512,0.00307,0.00307,0.00307
16,1878.07,0.14357,0.98599,0.99987,0.03417,0.002575,0.002575,0.002575
17,1989.29,0.12907,0.98639,0.99987,0.03362,0.00208,0.00208,0.00208
18,2098.36,0.11855,0.98707,0.99987,0.03284,0.001585,0.001585,0.001585
19,2210,0.10415,0.98707,0.99987,0.03213,0.00109,0.00109,0.00109
20,2321.47,0.09492,0.98733,0.99987,0.03142,0.000595,0.000595,0.000595
